ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,prompt
11435,River tubing,A group pose smiling for the camera. A group wave to the camera while more people in the background walk through the water.,the group,A group pose smiling for the camera. A group wave to the camera while more people in the background walk through the water. the group,"['gesture at the camera.', 'meets in a field and then in a ring with other people.', 'go rafting on the water.', 'moves on, waving at one another.']",activitynet~v_GWRqx0obKzA,val,indomain,2,"A group pose smiling for the camera. A group wave to the camera while more people in the background walk through the water. the group
A. gesture at the camera.
B. meets in a field and then in a ring with other people.
C. go rafting on the water.
D. moves on, waving at one another.
Answer:"
2390,Running a marathon,A crowd watches as several runners in a race jog past.,they all,A crowd watches as several runners in a race jog past. they all,"['are interviewed by microphones outside.', 'stop and change positions as the race starts.', 'keep jogging, coming in at the end of the race.', 'fall down as they attempt to make the jump.']",activitynet~v_SbY68ygmuEA,val,zeroshot,2,"A crowd watches as several runners in a race jog past. they all
A. are interviewed by microphones outside.
B. stop and change positions as the race starts.
C. keep jogging, coming in at the end of the race.
D. fall down as they attempt to make the jump.
Answer:"
39497,Home and Garden,"[header] How to fix a loose toilet paper holder [title] Examine the underside of the loose arm or escutcheon. [step] There should be a small hole with a screw inside it. This screw may or may not have a traditional "" head "" to it.",,"[header] How to fix a loose toilet paper holder [title] Examine the underside of the loose arm or escutcheon. [step] There should be a small hole with a screw inside it. This screw may or may not have a traditional "" head "" to it.","['[title] Remove the screw if possible by grasping its edges between your index finger and thumb and gently twisting until it comes loose. [title] Take the screw down to the hardware store to get the correctly sized screwdriver to reinstall it tightly.', 'Pay attention to this hole so you can replace it. The screw may have had decals on it.', '[substeps] Before fastening the loose arm or escutcheon on top of the plastic cover, the gasket needs to be properly tightened. Check the screw for it\'s "" head "" or a small screw underneath it that holds the key vent seam in place.', 'It usually travels down into the toilet paper holder but many of these holes are small enough to have a screw protruding out of them. [title] Shut off the flush valve to the toilet.']",wikihow~65014,val,indomain,0,"[header] How to fix a loose toilet paper holder [title] Examine the underside of the loose arm or escutcheon. [step] There should be a small hole with a screw inside it. This screw may or may not have a traditional "" head "" to it.
A. [title] Remove the screw if possible by grasping its edges between your index finger and thumb and gently twisting until it comes loose. [title] Take the screw down to the hardware store to get the correctly sized screwdriver to reinstall it tightly.
B. Pay attention to this hole so you can replace it. The screw may have had decals on it.
C. [substeps] Before fastening the loose arm or escutcheon on top of the plastic cover, the gasket needs to be properly tightened. Check the screw for it's "" head "" or a small screw underneath it that holds the key vent seam in place.
D. It usually travels down into the toilet paper holder but many of these holes are small enough to have a screw protruding out of them. [title] Shut off the flush valve to the toilet.
Answer:"
47195,Personal Care and Style,"[header] How to give a sensual massage [title] Clean and groom yourself. [step] To make the experience as sensual as possible, both of you should feel comfortable, clean, and fresh. Bathe and groom yourself, paying particular attention to your hands and fingernails.",,"[header] How to give a sensual massage [title] Clean and groom yourself. [step] To make the experience as sensual as possible, both of you should feel comfortable, clean, and fresh. Bathe and groom yourself, paying particular attention to your hands and fingernails.","['Put on lotion, wash your hands, and polish your nails. [substeps] If you feel the urge to lick your lips while you are shaving, you should avoid it.', ""Your fingers should be clean and clipped before you give a sensual massage. [substeps] If you're giving your partner a massage, consider bathing together to initiate the intimacy."", 'Lather and scrub your body with a loofah to remove any lingering oils, soap, or dirt. Use a fine-tooth comb to groom any hair that falls between your palms.', 'After showering, apply moisturizer, and get your skin nice and smooth. [substeps] If you use aftershave at the time of use, do so a week before your massage.']",wikihow~77651,val,zeroshot,1,"[header] How to give a sensual massage [title] Clean and groom yourself. [step] To make the experience as sensual as possible, both of you should feel comfortable, clean, and fresh. Bathe and groom yourself, paying particular attention to your hands and fingernails.
A. Put on lotion, wash your hands, and polish your nails. [substeps] If you feel the urge to lick your lips while you are shaving, you should avoid it.
B. Your fingers should be clean and clipped before you give a sensual massage. [substeps] If you're giving your partner a massage, consider bathing together to initiate the intimacy.
C. Lather and scrub your body with a loofah to remove any lingering oils, soap, or dirt. Use a fine-tooth comb to groom any hair that falls between your palms.
D. After showering, apply moisturizer, and get your skin nice and smooth. [substeps] If you use aftershave at the time of use, do so a week before your massage.
Answer:"
18560,Food and Entertaining,"[header] How to train a blind dog [title] Exercise your dog as usual. [step] You should continue to take your dog on walks to keep him healthy and maintain your bond. When you walk your dog, watch for obstacles that may cause your dog to trip and gently redirect your dog as needed.",,"[header] How to train a blind dog [title] Exercise your dog as usual. [step] You should continue to take your dog on walks to keep him healthy and maintain your bond. When you walk your dog, watch for obstacles that may cause your dog to trip and gently redirect your dog as needed.","['[substeps] Using a back or front clip harness rather than a leash may give you a little more control over your dog and make it easier for you to guide him around obstacles. Also, keep in mind that your dog will need reassurance if something noisy startles him.', 'Your dog will naturally ignore these obstacles and will calm down as soon as a sign of danger appears. [substeps] If your dog is simply uninterested, try a walking exercise that can be repeated several times a day.', ""Try to calm your dog as much as possible, scolding it if it makes the mistake or waves at you when you're not close enough to keep walking. [substeps] You can also try gently petting your dog or holding its hand or cuddle the dog at the beginning of a walk if you have experience doing so."", '[substeps] Dragging your dog when not in the right direction can lead him to run low on his leash. If your dog has a hard time maintaining a proper pace, you may want to stop (or move) the dog so you stop just long enough to let your dog rest and recover from his injuries.']",wikihow~30578,val,indomain,0,"[header] How to train a blind dog [title] Exercise your dog as usual. [step] You should continue to take your dog on walks to keep him healthy and maintain your bond. When you walk your dog, watch for obstacles that may cause your dog to trip and gently redirect your dog as needed.
A. [substeps] Using a back or front clip harness rather than a leash may give you a little more control over your dog and make it easier for you to guide him around obstacles. Also, keep in mind that your dog will need reassurance if something noisy startles him.
B. Your dog will naturally ignore these obstacles and will calm down as soon as a sign of danger appears. [substeps] If your dog is simply uninterested, try a walking exercise that can be repeated several times a day.
C. Try to calm your dog as much as possible, scolding it if it makes the mistake or waves at you when you're not close enough to keep walking. [substeps] You can also try gently petting your dog or holding its hand or cuddle the dog at the beginning of a walk if you have experience doing so.
D. [substeps] Dragging your dog when not in the right direction can lead him to run low on his leash. If your dog has a hard time maintaining a proper pace, you may want to stop (or move) the dog so you stop just long enough to let your dog rest and recover from his injuries.
Answer:"
18324,Finance and Business,"[header] How to order checks for the first time [title] Get checks from your bank. [step] You can always order checks directly from your bank. While these checks will likely have your bank logo instead of personalized checks, they are relatively easy to order directly through your bank.",,"[header] How to order checks for the first time [title] Get checks from your bank. [step] You can always order checks directly from your bank. While these checks will likely have your bank logo instead of personalized checks, they are relatively easy to order directly through your bank.","['[substeps] You should get a limited quantity of checks when you first open a checking account at your bank. If you plan on writing a lot of checks, you may want to order checks immediately at your bank when you open your account.', ""[substeps] To find your bank's logo, call 1-800-1021-6422, or check your bank's website. Make sure to have the check book that your bank gives you."", ""[substeps] If your bank has a usps policy in place, you won't have to worry about finding the correct order online. You can usually order checks online from your bank's website."", '[substeps] Check websites or look at the online marketplace for barcodes for checks. These will help you track your request or order through your bank.']",wikihow~30207,val,indomain,0,"[header] How to order checks for the first time [title] Get checks from your bank. [step] You can always order checks directly from your bank. While these checks will likely have your bank logo instead of personalized checks, they are relatively easy to order directly through your bank.
A. [substeps] You should get a limited quantity of checks when you first open a checking account at your bank. If you plan on writing a lot of checks, you may want to order checks immediately at your bank when you open your account.
B. [substeps] To find your bank's logo, call 1-800-1021-6422, or check your bank's website. Make sure to have the check book that your bank gives you.
C. [substeps] If your bank has a usps policy in place, you won't have to worry about finding the correct order online. You can usually order checks online from your bank's website.
D. [substeps] Check websites or look at the online marketplace for barcodes for checks. These will help you track your request or order through your bank.
Answer:"
22525,Playing rubik cube,A man is holding a rubiks cube. He then starts to turn it. He stops and looks it over.,eventually he,A man is holding a rubiks cube. He then starts to turn it. He stops and looks it over. eventually he,"['reaches a square and stops.', 'pulls out a half rubiks cube.', 'turns it back over.', 'solves it and shows his time.']",activitynet~v_SHZ9fsusMGc,val,indomain,3,"A man is holding a rubiks cube. He then starts to turn it. He stops and looks it over. eventually he
A. reaches a square and stops.
B. pulls out a half rubiks cube.
C. turns it back over.
D. solves it and shows his time.
Answer:"
33316,Personal Care and Style,"[header] How to use a cuticle pusher [title] Decide whether to get a cuticle pusher made of steel or wood. [step] Steel cuticle pushers are best for tough, hard cuticles. Wooden cuticle pushers are best for soft cuticles.",,"[header] How to use a cuticle pusher [title] Decide whether to get a cuticle pusher made of steel or wood. [step] Steel cuticle pushers are best for tough, hard cuticles. Wooden cuticle pushers are best for soft cuticles.","['[substeps] Wood cuticles have been shown to taste best. They can also handle heat more effectively than wood cuticles.', 'Feel free to carry a variety of plastic container pushers over to a professional beauty supply store and purchase the correct kind. [title] Wet the skin with warm, soapy water.', 'Woods made of metal or plastic are not the best choice because they are difficult to work with. Metal cuticles have limited seam allowances and they do not give very much resistance.', '[title] Pick which tip you want your cuticle pusher to have. [step] Some have blunt rounded ends, others have sharp pointy ends or spoon-shaped ends and yet others are curved.']",wikihow~54883,val,zeroshot,3,"[header] How to use a cuticle pusher [title] Decide whether to get a cuticle pusher made of steel or wood. [step] Steel cuticle pushers are best for tough, hard cuticles. Wooden cuticle pushers are best for soft cuticles.
A. [substeps] Wood cuticles have been shown to taste best. They can also handle heat more effectively than wood cuticles.
B. Feel free to carry a variety of plastic container pushers over to a professional beauty supply store and purchase the correct kind. [title] Wet the skin with warm, soapy water.
C. Woods made of metal or plastic are not the best choice because they are difficult to work with. Metal cuticles have limited seam allowances and they do not give very much resistance.
D. [title] Pick which tip you want your cuticle pusher to have. [step] Some have blunt rounded ends, others have sharp pointy ends or spoon-shaped ends and yet others are curved.
Answer:"
9989,Pets and Animals,[header] How to plan a cesarean section for brachycephalic dogs [title] Have your vet measure luteinizing hormone (lh) levels. [step] Timing the c-section is an important part of the planning process. Several strategies are available to determine when a c-section should take place.,,[header] How to plan a cesarean section for brachycephalic dogs [title] Have your vet measure luteinizing hormone (lh) levels. [step] Timing the c-section is an important part of the planning process. Several strategies are available to determine when a c-section should take place.,"['The timing of the c-section is very important. [substeps] The vet will tell you in advance whether the dog is at least 5 pounds.', ""While it would be best for your dog to get tested at your vet's office, there are several methods you can use to make a rule against this. Consider : [substeps] He can confirm your dog's pregnancy through the test."", 'These strategies can help your dog recover from the procedure without affecting any negative effects on its body. Your vet can also determine if you need to take your dog to a clinic or a veterinarian before the procedure.', 'One strategy is measuring lh, a hormone that stimulates ovulation (egg released from the ovary). [substeps] Peak lh levels mark the beginning of pregnancy, which lasts an average of 65 days in a dog.']",wikihow~16469,val,indomain,3,"[header] How to plan a cesarean section for brachycephalic dogs [title] Have your vet measure luteinizing hormone (lh) levels. [step] Timing the c-section is an important part of the planning process. Several strategies are available to determine when a c-section should take place.
A. The timing of the c-section is very important. [substeps] The vet will tell you in advance whether the dog is at least 5 pounds.
B. While it would be best for your dog to get tested at your vet's office, there are several methods you can use to make a rule against this. Consider : [substeps] He can confirm your dog's pregnancy through the test.
C. These strategies can help your dog recover from the procedure without affecting any negative effects on its body. Your vet can also determine if you need to take your dog to a clinic or a veterinarian before the procedure.
D. One strategy is measuring lh, a hormone that stimulates ovulation (egg released from the ovary). [substeps] Peak lh levels mark the beginning of pregnancy, which lasts an average of 65 days in a dog.
Answer:"
43725,Education and Communications,"[header] How to make tryptic soy agar (tsa ) [title] Using the marker and tape label the flask with your name, the date and the name of the solution (tsa). [title] Carefully slide the large magnetic stir-bar into the erlenmeyer flask. [title] Measure 500 ml of distilled water with the graduated cylinder.",,"[header] How to make tryptic soy agar (tsa ) [title] Using the marker and tape label the flask with your name, the date and the name of the solution (tsa). [title] Carefully slide the large magnetic stir-bar into the erlenmeyer flask. [title] Measure 500 ml of distilled water with the graduated cylinder.","['[title] Once the mixture is properly mixed, insert the acetic nut into the chamber of the flask, and lift out the lid of the syringe. [title] Thread the brush of the winding mechanism through the locking piece and plug the cap on.', '[title] Pour 500 ml of distilled water from the graduated cylinder into the erlenmeyer flask. [title] Place metal cap on the flask.', '[step] Be careful not to let the water float in the flask. [title] Put measured percentage of the liquid into the flask.', '[title] Add five teaspoons of corn syrup into the end of the stirring device. [title] Close the swirl cap on the stir bar.']",wikihow~71969,val,indomain,1,"[header] How to make tryptic soy agar (tsa ) [title] Using the marker and tape label the flask with your name, the date and the name of the solution (tsa). [title] Carefully slide the large magnetic stir-bar into the erlenmeyer flask. [title] Measure 500 ml of distilled water with the graduated cylinder.
A. [title] Once the mixture is properly mixed, insert the acetic nut into the chamber of the flask, and lift out the lid of the syringe. [title] Thread the brush of the winding mechanism through the locking piece and plug the cap on.
B. [title] Pour 500 ml of distilled water from the graduated cylinder into the erlenmeyer flask. [title] Place metal cap on the flask.
C. [step] Be careful not to let the water float in the flask. [title] Put measured percentage of the liquid into the flask.
D. [title] Add five teaspoons of corn syrup into the end of the stirring device. [title] Close the swirl cap on the stir bar.
Answer:"
