ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,text
45961,Relationships,"[header] How to have an effective handshake [title] Know when to use your handshake. [step] The appropriate times to shake another person's hand include : [substeps] When you are introduced to someone when you say goodbye to someone at the beginning or the end of a business, social, church, or other meeting whenever it seems appropriate within a business context, such as sealing a deal. [title] Be the first to extend your hand.",,"[header] How to have an effective handshake [title] Know when to use your handshake. [step] The appropriate times to shake another person's hand include : [substeps] When you are introduced to someone when you say goodbye to someone at the beginning or the end of a business, social, church, or other meeting whenever it seems appropriate within a business context, such as sealing a deal. [title] Be the first to extend your hand.","['[step] It can be instinctive when you first meet someone. But taking the initiative to shake them is a great way to show a familiarity with the person as well as keep things interesting.', ""[step] Shake the other person's hand and say hello. Say hi, smile, or even shake their hand before allowing your hand to be extended."", '[step] This makes a strong, lasting impression on the person at the receiving end. It is also about control; by offering your hand first, you are leading the way.', '[step] Nod "" hello "" to others as they walk past you and stick your hand out for a handshake. Make sure your palm is non-flared.']",wikihow~75669,train,indomain,2,"[header] How to have an effective handshake [title] Know when to use your handshake. [step] The appropriate times to shake another person's hand include : [substeps] When you are introduced to someone when you say goodbye to someone at the beginning or the end of a business, social, church, or other meeting whenever it seems appropriate within a business context, such as sealing a deal. [title] Be the first to extend your hand.
A. [step] It can be instinctive when you first meet someone. But taking the initiative to shake them is a great way to show a familiarity with the person as well as keep things interesting.
B. [step] Shake the other person's hand and say hello. Say hi, smile, or even shake their hand before allowing your hand to be extended.
C. [step] This makes a strong, lasting impression on the person at the receiving end. It is also about control; by offering your hand first, you are leading the way.
D. [step] Nod "" hello "" to others as they walk past you and stick your hand out for a handshake. Make sure your palm is non-flared.
Answer:"
44333,Health,[header] How to use counseling to overcome body image issues [title] Make a list of things you don't like about yourself. [step] One thing you might be asked to do in counseling is to make a list of things you don't like about yourself. Include things you are uncomfortable with or ways you feel about your body.,,[header] How to use counseling to overcome body image issues [title] Make a list of things you don't like about yourself. [step] One thing you might be asked to do in counseling is to make a list of things you don't like about yourself. Include things you are uncomfortable with or ways you feel about your body.,"['Picking a list can help you and your friends and family come to terms with your problems. [substeps] List everything you dislike about your body.', '[substeps] Include any body parts or specific things that you have a problem with. Think about things about your body you try to hide or disguise.', ""[substeps] Don't make this list all at once. While you might end up focusing on the thinnest part of yourself, your list will keep you from only focusing on the lame parts that you can't possibly fully change."", ""[substeps] If you don't like having your body judged, you'll get put in a vulnerable position where you can't stand being judged. On your list, find your beliefs or passions.""]",wikihow~73004,train,indomain,1,"[header] How to use counseling to overcome body image issues [title] Make a list of things you don't like about yourself. [step] One thing you might be asked to do in counseling is to make a list of things you don't like about yourself. Include things you are uncomfortable with or ways you feel about your body.
A. Picking a list can help you and your friends and family come to terms with your problems. [substeps] List everything you dislike about your body.
B. [substeps] Include any body parts or specific things that you have a problem with. Think about things about your body you try to hide or disguise.
C. [substeps] Don't make this list all at once. While you might end up focusing on the thinnest part of yourself, your list will keep you from only focusing on the lame parts that you can't possibly fully change.
D. [substeps] If you don't like having your body judged, you'll get put in a vulnerable position where you can't stand being judged. On your list, find your beliefs or passions.
Answer:"
20251,Food and Entertaining,"[header] How to make friendship fairy bread [title] Preheat the oven to 350 f or 180 c. [step] Melt the butter in a saucepan. When the butter is melted, set it aside to cool. It is important that you cool the butter before working with it because you do not want the sugar to melt too fast-you want it crystallized on the top of each biscuit.",,"[header] How to make friendship fairy bread [title] Preheat the oven to 350 f or 180 c. [step] Melt the butter in a saucepan. When the butter is melted, set it aside to cool. It is important that you cool the butter before working with it because you do not want the sugar to melt too fast-you want it crystallized on the top of each biscuit.","['[title] Add the corn meal to the butter. [step] Stir it, then add the corn meal.', '[title] Whisk the eggs with the butter. [step] While the butter is still warm, add the eggs by hand and mix until creamy and fluffy.', '[title] Combine the white sugar, brown sugar and cinnamon in a bowl. [step] Flatten or roll out the buttermilk biscuits, making sure to lay them on a flat surface.', '[substeps] For a simple alternative, you can put the bread in the oven for about 5 minutes or so and then pour it through a colander for easy cleanup. [title] Mash 2 cups of sugar into a large saucepan.']",wikihow~33431,train,indomain,2,"[header] How to make friendship fairy bread [title] Preheat the oven to 350 f or 180 c. [step] Melt the butter in a saucepan. When the butter is melted, set it aside to cool. It is important that you cool the butter before working with it because you do not want the sugar to melt too fast-you want it crystallized on the top of each biscuit.
A. [title] Add the corn meal to the butter. [step] Stir it, then add the corn meal.
B. [title] Whisk the eggs with the butter. [step] While the butter is still warm, add the eggs by hand and mix until creamy and fluffy.
C. [title] Combine the white sugar, brown sugar and cinnamon in a bowl. [step] Flatten or roll out the buttermilk biscuits, making sure to lay them on a flat surface.
D. [substeps] For a simple alternative, you can put the bread in the oven for about 5 minutes or so and then pour it through a colander for easy cleanup. [title] Mash 2 cups of sugar into a large saucepan.
Answer:"
45348,Beer pong,"A group of young men are in a kitchen, playing a game of beer pong.",they,"A group of young men are in a kitchen, playing a game of beer pong. they","['each hit the ball with a stick in the pool, checking to see how far the push it through the hole.', 'cheer as they get the ball into a cup.', 'are all walking around the table, trying to hit the balls back and forth against one another.', 'hit a tray back and forth over beer mugs while the girl dances with a man.']",activitynet~v_yaK-giAk4e8,train,indomain,1,"A group of young men are in a kitchen, playing a game of beer pong. they
A. each hit the ball with a stick in the pool, checking to see how far the push it through the hole.
B. cheer as they get the ball into a cup.
C. are all walking around the table, trying to hit the balls back and forth against one another.
D. hit a tray back and forth over beer mugs while the girl dances with a man.
Answer:"
39660,Fun sliding down,A shot of a playground is shown followed by a young girl pushing around a boy.,the girl hold,A shot of a playground is shown followed by a young girl pushing around a boy. the girl hold,"['up the zoom attachment and points to the boy.', ""the boy's foot while another boy helps hold a stick."", 'up the two sticks in front of her with one side wrapped around and the other side wrapped around.', ""'s the boys hands and leads him around the playground.""]",activitynet~v_n2L9F6cMNaE,train,indomain,3,"A shot of a playground is shown followed by a young girl pushing around a boy. the girl hold
A. up the zoom attachment and points to the boy.
B. the boy's foot while another boy helps hold a stick.
C. up the two sticks in front of her with one side wrapped around and the other side wrapped around.
D. 's the boys hands and leads him around the playground.
Answer:"
22352,Food and Entertaining,"[header] How to cook with sugar substitutes [title] Decide which sugar substitute to use. [step] There are natural sugar substitutes and artificial sugar substitutes. [title] Natural sugar substitutes have calories and sugar in them, but may help control blood sugar levels and contribute other potential health benefits.",,"[header] How to cook with sugar substitutes [title] Decide which sugar substitute to use. [step] There are natural sugar substitutes and artificial sugar substitutes. [title] Natural sugar substitutes have calories and sugar in them, but may help control blood sugar levels and contribute other potential health benefits.","['[title] Add a few drops of vanilla extract to foods that contain sugar. [step] A small drop of this harmless ingredient may help increase blood sugar levels.', ""[title] Determine the number of calories you'd like to eat each day (124.4 grams a day for women and 115.9 grams a day for men). [title] Add any sugar substitutes to your meal plan."", ""[title] Measure out two teaspoons sugar and pour it into a heavy-based saucepan. [step] You'll need two cups of water."", '[step] Artificial sugar substitutes have little or no calories and have little effect on blood sugar levels. The most popular natural and artificial sweeteners are : [substeps] Honey: this is slightly sweeter than sugar and higher in moisture.']",wikihow~36916,train,indomain,3,"[header] How to cook with sugar substitutes [title] Decide which sugar substitute to use. [step] There are natural sugar substitutes and artificial sugar substitutes. [title] Natural sugar substitutes have calories and sugar in them, but may help control blood sugar levels and contribute other potential health benefits.
A. [title] Add a few drops of vanilla extract to foods that contain sugar. [step] A small drop of this harmless ingredient may help increase blood sugar levels.
B. [title] Determine the number of calories you'd like to eat each day (124.4 grams a day for women and 115.9 grams a day for men). [title] Add any sugar substitutes to your meal plan.
C. [title] Measure out two teaspoons sugar and pour it into a heavy-based saucepan. [step] You'll need two cups of water.
D. [step] Artificial sugar substitutes have little or no calories and have little effect on blood sugar levels. The most popular natural and artificial sweeteners are : [substeps] Honey: this is slightly sweeter than sugar and higher in moisture.
Answer:"
50658,Education and Communications,"[header] How to improve your math sat score [title] Download the sat practice app. [step] Go to the college board's website and head to the "" daily practice "" section. In that area, you will find a link to download an app that will help you prepare for the sat.",,"[header] How to improve your math sat score [title] Download the sat practice app. [step] Go to the college board's website and head to the "" daily practice "" section. In that area, you will find a link to download an app that will help you prepare for the sat.","['The app will send you practice questions each day. It will also let you scan paper practice tests directly into your phone.', 'Select "" free practice "" from the "" start recording "" menu. The app will track your transcripts in reverse to help get you out of your "" cheat "" section and back to working.', 'Under the heading "" learning your math skills, "" select "" help me study for the sat. "" from there, you can print out the app and write out your notes once you\'ve installed it.', '[substeps] The app is free, but can be expensive. It takes some time to install, so if you have trouble getting a perfect sat score, talk to a guidance counselor for help.']",wikihow~83367,train,indomain,0,"[header] How to improve your math sat score [title] Download the sat practice app. [step] Go to the college board's website and head to the "" daily practice "" section. In that area, you will find a link to download an app that will help you prepare for the sat.
A. The app will send you practice questions each day. It will also let you scan paper practice tests directly into your phone.
B. Select "" free practice "" from the "" start recording "" menu. The app will track your transcripts in reverse to help get you out of your "" cheat "" section and back to working.
C. Under the heading "" learning your math skills, "" select "" help me study for the sat. "" from there, you can print out the app and write out your notes once you've installed it.
D. [substeps] The app is free, but can be expensive. It takes some time to install, so if you have trouble getting a perfect sat score, talk to a guidance counselor for help.
Answer:"
27616,Education and Communications,[header] How to choose an mp3 player to improve your english [title] Think on portability. [step] The selected device must be a flash memory-based mp3 player. It's the smallest and lightest and typically allows to store hundreds of audio files.,,[header] How to choose an mp3 player to improve your english [title] Think on portability. [step] The selected device must be a flash memory-based mp3 player. It's the smallest and lightest and typically allows to store hundreds of audio files.,"['Portability costs a small sum of money, without varying the storage capacity. Potential choices include echo, track system, dvi, nw, samsung sync, or usr that the device supports.', ""It needs to be relatively small because some portable sound systems only record one video file per second and others have bigger files than others. Select video files that are named as' flash memory' and choose decimal places for the number."", ""Because it's small and contains no moving parts, it's ideal for carrying while exercising. Generally flash memory-based mp3 players fit in a pocket."", 'Choose a hard drive and a usb flash player if needed. High end laptops have hard disks which must be taken out from a hardware-disposal site to format.']",wikihow~45517,train,indomain,2,"[header] How to choose an mp3 player to improve your english [title] Think on portability. [step] The selected device must be a flash memory-based mp3 player. It's the smallest and lightest and typically allows to store hundreds of audio files.
A. Portability costs a small sum of money, without varying the storage capacity. Potential choices include echo, track system, dvi, nw, samsung sync, or usr that the device supports.
B. It needs to be relatively small because some portable sound systems only record one video file per second and others have bigger files than others. Select video files that are named as' flash memory' and choose decimal places for the number.
C. Because it's small and contains no moving parts, it's ideal for carrying while exercising. Generally flash memory-based mp3 players fit in a pocket.
D. Choose a hard drive and a usb flash player if needed. High end laptops have hard disks which must be taken out from a hardware-disposal site to format.
Answer:"
6093,Sports and Fitness,"[header] How to buy ice skates [title] Look for skates that are specific to your child's needs. [step] Hockey skates won't work for figure skating, and figure skates won't work for playing hockey. [substeps] Figure skates have a longer blade and a toe pick on the front, while hockey skates have a curved blade and no pick.",,"[header] How to buy ice skates [title] Look for skates that are specific to your child's needs. [step] Hockey skates won't work for figure skating, and figure skates won't work for playing hockey. [substeps] Figure skates have a longer blade and a toe pick on the front, while hockey skates have a curved blade and no pick.","[""Figure skates are more stable than hockey skates and are better for recreational skaters. If you are purchasing a first pair of recreational skates for your child, you're probably better off starting with figure skates."", ""[title] Find skates similar to your child's skates. [step] Figure skates are more than your child can buy."", ""Figure skates are designed to be adapted for many different styles of play. Don't buy skates that are made solely for learning your child's new skills."", 'You can buy hockey skates online or at skate supply stores. [title] Look for skates made for ice activities.']",wikihow~10077,train,indomain,0,"[header] How to buy ice skates [title] Look for skates that are specific to your child's needs. [step] Hockey skates won't work for figure skating, and figure skates won't work for playing hockey. [substeps] Figure skates have a longer blade and a toe pick on the front, while hockey skates have a curved blade and no pick.
A. Figure skates are more stable than hockey skates and are better for recreational skaters. If you are purchasing a first pair of recreational skates for your child, you're probably better off starting with figure skates.
B. [title] Find skates similar to your child's skates. [step] Figure skates are more than your child can buy.
C. Figure skates are designed to be adapted for many different styles of play. Don't buy skates that are made solely for learning your child's new skills.
D. You can buy hockey skates online or at skate supply stores. [title] Look for skates made for ice activities.
Answer:"
10143,Sailing,A black template with scrolling print with white lettering goes across the screen in an upward motion.,"a motor boat with two canoe like hulls on either side of the sail ,","A black template with scrolling print with white lettering goes across the screen in an upward motion. a motor boat with two canoe like hulls on either side of the sail ,","['sails across an ocean, in daylight, with two people hanging on to the side.', 'begins the voyages ahead and is loaded on the boat in less than two minutes.', 'sails by a man and a woman appear in the waters of a mountainous river.', 'now parked on the ocean shore, goes sailing around the water in a canoeing fashion.']",activitynet~v_-s1MQAiOMeY,train,indomain,0,"A black template with scrolling print with white lettering goes across the screen in an upward motion. a motor boat with two canoe like hulls on either side of the sail ,
A. sails across an ocean, in daylight, with two people hanging on to the side.
B. begins the voyages ahead and is loaded on the boat in less than two minutes.
C. sails by a man and a woman appear in the waters of a mountainous river.
D. now parked on the ocean shore, goes sailing around the water in a canoeing fashion.
Answer:"
